Username,Handle,Timestamp,Text,Associated Hashtags,Replies,Retweets,Likes
Charlie Helps FRSA,@HelpsCharlie,2021-12-15T19:36:22.000Z,"Climate Change Pushes Wildfires to New Heights #ClimateChange via http://twinybots.ch
landsat.gsfc.nasa.gov
Climate Change Pushes Wildfires to New Heights
Wildfires in the western United States have been spreading to higher elevations over the past few decades due to warmer and drier conditions that are clearly linked to climate change.
1",[],0,1,0
John Rizzo,@John_Rizzo,2021-12-15T19:34:51.000Z,"The CPUC proposal would decimate the cost effectiveness of rooftop solar and slow progress on critical climate goals. Now is not the time to roll back the fight on #climatechange .
My Generation Campaign
@MyGenerationSC
 · 19h
 Read the @SierraClub's response to the California proposal to decimate rooftop solar. We need sustained growth of rooftop solar to meet our climate goals! We need to #SaveSolar https://sierraclub.org/press-releases/2021/12/california-proposal-will-decimate-rooftop-solar…",['#SaveSolar'],0,0,0
PaladinOfAldoLeopold,@forwardourmotto,2021-12-15T19:32:07.000Z,"Gonna enjoy this weather until civilization collapses #climatechange #globalwarming
2",['#globalwarming'],0,0,2
smitinnc,@smitinnc,2021-12-15T19:31:26.000Z,"Brought to you by 
@Exxon
, which has been funding the finest climate science disinformation for decades, despite knowing the looming impacts of #climatechange.
National Weather Service
@NWS
 · 5h
Over it all is forecast to be an extreme wind event stretching across the entire central U.S. from the Mexico to Canada borders. A swath of 60+mph wind gusts, with embedded gusts to 80+ mph, will move from NM to MI through tonight.
National Weather Service
Show this thread
GIF
1
3",['#climatechange.'],0,1,3
cynthia w Nelson,@cindian1,2021-12-15T19:26:27.000Z,"#climatechange
Sadhbh O'Neill
@SadhbhO
 · 22h
A question for all Twitter users: why isn't climate change trending today, given the news of the imminent collapse of the Thwaites glacier with a decade and  irreversible sea level rise (65cm) that inevitably follows? Is there a code beyond Red??
1",[],0,1,0
Ian Goldman,@iangoldmansa,2021-12-15T19:25:41.000Z,"Stories from 193 countries of how they are being affected by #climatechange. 
@ctxrebellion
nytimes.com
Opinion | Postcards From a World on Fire
These 193 stories show the reality of climate change. In every country in the world.",['#climatechange.'],0,0,0
#UN #SDGs #ClimateAction #ActNow,@Sdg13Un,2021-12-15T19:23:38.000Z,"Who will pay 
for the #damage 
caused by #climatechange 

  You & me
  We all must pay for the #damage caused by #Globalwarming 

https://bbc.com/future/article/20211213-who-will-pay-for-the-damage-caused-by-climate-change?ocid=ww.social.link.twitter… via 
@BBC_Future
bbc.com
Who will pay for the damage caused by climate change?
Talking about who is responsible for climate change is a fraught debate – even more so when it comes to who ought to pay for the damage it causes.
3
4","['#damage', '#damage', '#Globalwarming']",0,3,4
"Cathy G., PhD",@cgem_phd,2021-12-15T19:23:35.000Z,"EU will Sanierungspflicht für einige Gebäude

#EU
#Sanierungspflicht
#Deutschland
#KlimatWandel
#ClimateChange
tagesschau.de
Energiesparen: EU will Sanierungspflicht für einige Gebäude
Brüssel ist es sehr ernst mit dem Klimaschutz: Das zeigt sich in neuen Vorschlägen der EU-Kommission. Sie will eine Sanierungspflicht für bestimmte Gebäude und eine Reform des Gasmarktes. Von Holger...","['#EU', '#Sanierungspflicht', '#Deutschland', '#KlimatWandel']",0,0,0
K. H. Yeganeh,@StarSun29,2021-12-15T19:20:59.000Z,"Climate change is a mischaracterization of the changes that have swept the world in the past 4 decades. Humans have changed more than the climate: they've gone from 3.6 to 8 billion, they have changed the earth, space and everything in between!
#ClimateCrisis #climatechange",['#ClimateCrisis'],0,0,0
Markus Röser,@RoeserMarkus,2021-12-15T19:20:33.000Z,"We need to protect #Soils to tackle #ClimateChange. Check out this inspiring 
@BASFAgro
 story featuring Kasey Bamberger, a third-generation farmer, who shares insights on carbon farming practices on her farm. Interesting!
basf.smh.re
Carbon Farming
Traditional farming methods that sequester carbon, such as minimal or no plowing of fields (no-till), rotating crops, and planting cover crops, have existed for millennia. So, what’s causing the hype...","['#Soils', '#ClimateChange.']",0,0,0
SK Tree For Life Program,@sk_program,2021-12-15T19:19:03.000Z,"The #SKTreeforLife Program is asking you to complete our Climate Change Survey!  Complete the survey and you will be entered to win a gift card! Visit https://saskwatersheds.ca/climate-change-survey/…  
#treesaregood #plantatree #climatechange #saskatchewan #haveyoursay #share #surveytime","['#SKTreeforLife', '#treesaregood', '#plantatree', '#saskatchewan', '#haveyoursay', '#share', '#surveytime']",0,0,0
Ultimate Safari,@SafariUltimate,2021-12-15T19:18:18.000Z,"Clothing production has roughly doubled since 2000.

Fashion brands continue to increase their product ranges. The equivalent of 1 garbage truck full of clothes is burned or dumped in a land fill every second! 

: Tom Fisk 

#climatechange #fastfashion #wildlifewednesday
1
1","['#fastfashion', '#wildlifewednesday']",0,1,1
Colorado Farm & Food Alliance,@ColoFarmFood,2021-12-15T19:15:16.000Z,"Rural Colorado should not be protected to a lesser standard. 

#ClimateChange is real, its crisis heading straight for Colo's farms, ranches and food supply. And #OilGas' methane problem is huge contributor-whether DJ or Piceance or San Juan Basins.

#COpolitics 
@CDPHE
 @CDPHEapcd
Western CO Alliance
@WestCOAlliance
 · 34m
West Slope residents deserve the same air quality protections as those living on the Front Range! The AQCC and @cdpheapcd should require oil and gas operators to look for and repair leaks on a regular basis. Learn about the issues in @GlenwoodPI
 https://bit.ly/3m0sXww
2
3","[""#OilGas'"", '#COpolitics']",0,2,3
Scott Lucas,@ScottLucas_EA,2021-12-15T19:15:12.000Z,"EA on 
@TRTWorld
: Is the #G7 Still Relevant? 

https://eaworldview.com/2021/12/ea-on-trt-world-is-the-g7-still-relevant/…

#ClimateChange #Coronavirus
1","['#G7', '#Coronavirus']",0,0,1
Dragofix,@Dragofix,2021-12-15T19:13:59.000Z,"Scientists urge creating strategic forest reserves to mitigate climate change, protect biodiversity https://sciencedaily.com/releases/2021/12/211214104253.htm… #environment #biodiversity #forest #forests #Climate #ClimateChange #ActOnClimate
sciencedaily.com
Scientists urge creating strategic forest reserves to mitigate climate change, protect biodiversity
The United States should immediately move to create a collection of strategic forest reserves in the Western U.S. to fight climate change and safeguard biodiversity, according to a scientific...
3","['#environment', '#biodiversity', '#forest', '#forests', '#Climate', '#ActOnClimate']",0,0,3
andersgedacht,@andersgedacht1,2021-12-15T19:12:07.000Z,"Must read on the elephant in the room in today's discussions about #climatechange and #renewables
Art Berman
@aeberman12
 · Dec 11
OVERSHOOT not CLIMATE CHANGE is our existential threat.

Climate change, biodiversity loss, tropical deforestation, erosion & pollution of everything are ALL SYMPTOMS of OVERSHOOT.
https://populationmatters.org/news/2021/11/bill-rees-note-climate-change-and-cultural-denial…
#ClimateActionNow #ClimateActionNow #NetZero #renewables
#fintwit","['#renewables', '#ClimateActionNow', '#ClimateActionNow', '#NetZero', '#renewables', '#fintwit']",0,0,0
GreenHut,@hut_green,2021-12-15T19:11:49.000Z,"Today we were at Tentele in Matopo where together with 
@WasteMoneyZW
  we demonstrated low cost, water efficient trip irrigation at the agro- ecology garden there ! With anticipated water scarcity from #climatechange, adaptation is key in sustaining agric livelihoods
AYICCZim and 9 others
1
3","['#climatechange,']",0,1,3
Deploreable dogface pony soldier,@J0hnnyD0llar,2021-12-15T19:11:24.000Z,"13 years ago today #AlGore predicted that the ice caps would be ice free in five years. #GlobalWarming #ClimateChange
7
20","['#AlGore', '#GlobalWarming']",0,7,20
WNH,@wnhynd,2021-12-15T19:10:54.000Z,"Mining giant concedes emissions ‘blowout’ at Queensland coalmine ⁦
@AngloAmerican
⁩ #climatecrisis #emissions #keepitintheground #coal #pollution #climatechange
theguardian.com
Mining giant concedes emissions ‘blowout’ at Queensland coalmine
Documents show Anglo American breached carbon limits at Capcoal mine by at least 841,000 tonnes over four years
1
2
1","['#climatecrisis', '#emissions', '#keepitintheground', '#coal', '#pollution']",1,2,1
Jose Lenguadetrapo,@JLenguadetrapo,2021-12-15T19:10:48.000Z,"Replying to 
@VP
#ClimateCrisis #Climatechange  How can you say that ,when this is happening in USA.
people can not use the Sun or Wind to dry. 
Ps: no batteries need it.",['#ClimateCrisis'],0,0,0
The Flexitarian,@TheFlexitarian,2021-12-15T19:10:07.000Z,"#netzero Eating - What will our food look like in 2030? 
@UKRI_News
 

Find out  https://buff.ly/3GLyor7

#futureoffood #plantbased #vegan #foodwaste #flexitarian #2030 #2030agenda #climatechange #local #seasonal","['#netzero', '#futureoffood', '#plantbased', '#vegan', '#foodwaste', '#flexitarian', '#2030', '#2030agenda', '#local', '#seasonal']",0,0,0
Markus Hofmann,@m_hof,2021-12-15T19:09:48.000Z,"#Klimaschutz und Wohlergehen sind kein Widerspruch. 

Demand-side solutions to climate change mitigation consistent with high levels of well-being #ClimateChange
nature.com
Demand-side solutions to climate change mitigation consistent with high levels of well-being
Nature Climate Change - Evaluation of mitigation actions often focuses on cost and overlooks the direct effects on well-being. This work shows demand-side measures have large mitigation potential...
1",['#Klimaschutz'],0,0,1
LeeTyler,@LeeTyler,2021-12-15T19:09:08.000Z,"Climate Change Is Another Tool to CONTROL the Narrative | 
@You
 Are Here #Globe #Ecological #EcoFriendly #CleanAir #ClimateChange [Video]: Along with COVID, climate change is another media driven narrative that’s being used to control and manipulate the… http://dlvr.it/SFRXYm","['#Globe', '#Ecological', '#EcoFriendly', '#CleanAir']",0,0,0
Brandon Bestelmeyer,@BBestelm,2021-12-15T19:08:54.000Z,"Wind erosion is a critical problem in #rangeland ecosystems that we have not been able to measure adequately until now: the AERO model estimates effects of #climatechange and land management on erosion rates. https://sciencedirect.com/science/article/pii/S1875963721001063… 
@TheJornada
 @NMSUaes
 @USLTAR
  @USDA_ARS
2
3",['#rangeland'],0,2,3
clickforjustice,@clickforjustice,2021-12-15T19:05:04.000Z,"Why would the Democratic Party vote to give money to people who are not supporting #ClimateChange, #VotingRights, #BuildBackBetter bills eliminating the filibuster rule? 
@RandPaul
 @LeaderMcConnell
 have voted against every democratic bill for all the people
thehill.com
Senate approves sweeping defense bill
The Senate on Wednesday passed a sweeping defense policy bill on an 89-10 vote, ending a weeks-long standoff that had stalled work on the legislation. ","['#ClimateChange,', '#VotingRights,', '#BuildBackBetter']",0,0,0
Rochelle J. March,@rochellejmarch,2021-12-15T19:04:49.000Z,"Now that people know what ESG is, let's continue to make it better and more impactful. 

#esg #data #sustainabililty #climatechange #change
Global Gov Forum
@globegov
 · Dec 2
Given the work @DunBradstreet has done on #ESG to date, @rochellejmarch says one of the things she has found most surprising is the massive growth in popularity of ESG  in the last two years.
Show this thread","['#esg', '#data', '#sustainabililty', '#change', '#ESG']",0,0,0
Jayadeep Divakaran,@JayadeepDivaka1,2021-12-15T19:04:09.000Z,"The effect of individual efforts to arrest emissions are negligible unless adopted near-universally. Read more: #ClimateChange
share.siemens-energy.social
Why consumer habits are equally as important for energy transition
The effect of individual efforts to arrest emissions are negligible unless adopted near-universally...
1",[],0,0,1
Radiant Earth Foundation,@OurRadiantEarth,2021-12-15T19:04:06.000Z,"The deadline for the 
@ClimateChangeAI
 summer school is fast approaching! If you have an #AI or #climatechange background, check it out and apply by Dec.17. You’ll learn how to use #ML to address climate change problems:
climatechange.ai
Climate Change AI Summer School 2022
Climate Change AI Summer School 2022
1","['#AI', '#ML']",0,1,0
Greenpeace USA,@greenpeaceusa,2021-12-15T19:03:44.000Z,"FEMA chief says powerful storms like this week's Tornadoes are the 'new normal' in era of #climatechange.

Our communities need more than emergency relief, we need action that will prevent more climate emergencies
edition.cnn.com
FEMA chief says powerful storms 'new normal' in era of climate change
Powerful storms like the ones that tore through parts of the central United States this weekend are the ""new normal"" in an era of climate change, the top federal emergency management official said on...
6
5",['#climatechange.'],0,6,5
ORF,@orfonline,2021-12-15T19:02:00.000Z,"The debate today is how do we rapidly leapfrog to #energy that makes us more secure, healthier & create more jobs.

#RaisinaDialogue with 
@JohnKerry
 @ClimateEnvoy
 & 
@samirsaran
TUNE IN NOW  https://bit.ly/3oNGklr 

#netzero #climateaction #climatechange #GHG #emissions","['#energy', '#RaisinaDialogue', '#netzero', '#climateaction', '#GHG', '#emissions']",0,0,0
SensorComm Technologies,@sensorcommtech,2021-12-15T19:01:47.000Z,"SensorComm CEO Dr. Kamil Agi discusses application of machine learning (ML) and artificial intelligence (AI) to new IoT-based climate change technologies for Transportation & Energy at Forward Research & Innovation Summit https://bit.ly/3yt9fyB #climatechange #EnergyTransition
1",['#EnergyTransition'],0,0,1
Bob Hill,@bobhillbrain,2021-12-15T19:01:41.000Z,"The countdown has probably already completed and #ClimateChange is inevitable, however to persist in making the same mistake will only give us the things to become worse. 
https://rpujolviven.blogspot.com/2017/04/no-we-know-what-were-betting.html?spref=tw… but the but our paralysis pushes our end
Extreme Temperatures Around The World
@extremetemps
 · Mar 18
Today 18 March was a historic day in the Arabian Peninsula with 3 countries breaking their national records of highest March temperature:
#Qatar: 41.5C at Doha AP (previous 40.0C)
#Bahrain: 40.0C at Bahrain AP (previous 38.1C)
#SaudiArabia:42.8C at Dammam (previous 42.6C).
Show this thread","['#Qatar:', '#Bahrain:', '#SaudiArabia:42.8C']",0,0,0
AIR Worldwide,@AIRWorldwide,2021-12-15T19:01:01.000Z,"Mount Semeru, one of Indonesia’s most frequently erupting #volcanoes, caused havoc in East Java after heavy rainfall triggered the collapse of its lava dome on Dec. 4. Could #climatechange impact eruptions and vice-versa? https://vrsk.co/3DWyt9F #Indonesia
air-worldwide.com
Indonesian Eruption Links Climate Change and Volcanic Risk
The recent eruption of Indonesia's Mount Semeru highlights the ongoing link between climate change and volcanic risk.","['#volcanoes,', '#Indonesia']",0,0,0
Aberdeen City Council,@AberdeenCC,2021-12-15T19:00:38.000Z,"#Didyouknow we have converted 22,000 streetlamps to low-energy LEDs as part of our work for combatting #climatechange? Find out what we’re doing including our Climate Change Plan at https://orlo.uk/XUUSJ .
2
2","['#Didyouknow', '#climatechange?']",2,0,2
G Y Shin Esq,@gy_sh1n,2021-12-15T19:00:25.000Z,"Please don't let Greta see this.
#airpollution #climatechange
Ron Eisele
@ron_eisele
 · 19h
Venom cartridge starts.",['#airpollution'],0,0,0
SpaCIE,@spa_cie,2021-12-15T18:58:46.000Z,"Is this you when COVID-19 ruined your #studyabroad experience? It’s time to study abroad again! Check our #SummerSchool A Multidisciplinary Approach to #ClimateChange, July 11-22, 2022, at Universidad Autónoma de Madrid

http://climate.enveco.es
2
3","['#studyabroad', '#SummerSchool', '#ClimateChange,']",0,2,3
STOCKMASTER2000,@STOCKMASTERJAY,2021-12-15T18:58:28.000Z,#CLIMATECHANGE THE NEXT #SCAM LOL THESE PEOPLE ARE INSANE AND POWER HUNGRY - THEY ALL MUST BE STOPPED,['#SCAM'],0,0,0
WE ACT for EJ,@weact4ej,2021-12-15T18:58:23.000Z,"How will #Intro2317 impact people of color? In NYC, the majority of #AirPollution comes from buildings burning fossil fuels. And as this study reinforces, people of color have to breathe the most of it. Same is true of the impacts of #ClimateChange. #PassIntro2317 #GasFreeNYC
Allan Margolin
@AllanMargolin
 · 2h
ENVIRONMENTAL INJUSTICE

How much air pollution do you live with? It may depend on your skin color

https://theguardian.com/us-news/2021/dec/15/air-pollution-people-of-color-breathe-more-us-study…

@weact4ej @EJinAction @CLIMATEMAMA @Raymond_Norman @ableraces @AKimCampbell @thumperftw @versusplus @Dr_R_Strange @SFutorian @allywalker1 @RitaJoyNoTrump
7
6","['#Intro2317', '#AirPollution', '#ClimateChange.', '#PassIntro2317', '#GasFreeNYC']",0,7,6
Werner H. Hartmann,@WhHartmann,2021-12-15T18:57:20.000Z,"#ClimateChange
#ClimateCrisis 
#ClimateEmergency 
#ClimateCatastrophe
GIF
NPR
@NPR
 · 52m
0:25
Authorities issued evacuation orders for parts of drought-stricken Southern California after powerful rains triggered mudslides and flooding. One area of Santa Barbara County saw nearly 7 inches of rainfall.","['#ClimateCrisis', '#ClimateEmergency', '#ClimateCatastrophe']",0,0,0
Celebi Down,@CelebiDown,2021-12-15T18:56:52.000Z,"#ClimateCrisis is our real problem. We have to #Unite and build a #CreativeSociety  #Time4Truth #ClimateChange #Hurricane #storms
Global Crisis
@_GlobalCrisis_
 · 3h
The #Atlantic has been very extreme as far as #hurricane activity in the last 2 years, and the number of intense #storms has been very high as well. | @DrJeffMasters, excerpt #2 from his speech at #GlobalCrisis conference
https://creativesociety.com/global-crisis-time-for-the-truth…

#ClimateChange #ClimateCrisis
1
1","['#ClimateCrisis', '#Unite', '#CreativeSociety', '#Time4Truth', '#Hurricane', '#storms', '#Atlantic', '#hurricane', '#storms', '#2', '#GlobalCrisis', '#ClimateCrisis']",0,1,1
Ifeoma Ebo,@IfeomaEbo,2021-12-15T18:56:40.000Z,"Every New Yorker needs to know how #ClimateChange will affect them. I’m working on 
@NYSERDA
 statewide Climate Impacts Assessment to help evaluate how climate change will impact human health, the environment, the economy, and more: https://nysclimateimpacts.org #nysclimateimpacts
3
1",['#nysclimateimpacts'],0,3,1
Jay Marcieski,@JayMarcieski,2021-12-15T18:56:38.000Z,"“Yet the public has been so primed by politicians and activists to blame extreme weather on greenhouse gases they hardly blink when someone like President Biden just makes up the connection.” #climatechange #tornados #fakenews #enviroment
theepochtimes.com
Experts Rebuke Claims Linking Deadly Tornadoes to Climate Change
Experts have pushed back against claims that this weekend’s tragic tornadoes in Kentucky, Illinois, Missouri, Arkansas, and Tennessee ...
1","['#tornados', '#fakenews', '#enviroment']",0,1,0
Centro Boliviano de Derecho Ambiental,@centro_derecho,2021-12-15T18:55:36.000Z,"El pasado 12 de diciembre, el Centro Boliviano de Derecho Ambiental y Cambio Climático recordó el 6° Aniversario de la aprobación del #AcuerdoDeParís
#climatechange #CambioClimático #ParisAgreement
Paola D. Cortés M.  and 3 others
3
3","['#AcuerdoDeParís', '#CambioClimático', '#ParisAgreement']",0,3,3
Alex Raguet,@AlexRaguet,2021-12-15T18:55:26.000Z,"#FirstEnergy Invests in 
@EnergyImpact_
  Partners to Help Advance Sustainable Energy Innovation https://prn.to/3eaGFZH 
#ParisAgreement #ClimateChange
prnewswire.com
FirstEnergy Invests in Venture Capital Fund to Help Advance Sustainable Energy Innovation
/PRNewswire/ -- As part of its efforts to advance new technologies that will benefit customers and address climate change, FirstEnergy Corp. (NYSE: FE) today...
1","['#FirstEnergy', '#ParisAgreement']",0,0,1
Chelsea | She/Her,@LWPBdotnet,2021-12-15T18:55:00.000Z,"Why did planet earth have a temperature?

Because it caught a coal-d.

#ClimateChange",[],0,0,0
Michael Wojcik,@VoteWojcik,2021-12-15T18:54:23.000Z,"#climatechange is orders of magnitude worse than gas guzzlers paying $3 for a gallon... I'm sure everyone on Twitter will agree.
2",[],0,0,2
Rep. Jim Costa,@RepJimCosta,2021-12-15T18:54:08.000Z,"The #BuildBackBetter Act is our generation’s largest effort to combat #ClimateChange and rebuild our economy. It invests billions in restoration and climate resilience projects that ensure all communities are better prepared for the #ClimateCrisis.
1
5
5","['#BuildBackBetter', '#ClimateCrisis.']",1,5,5
Sukie #DemsAreThePatriots,@FroggyBottomPnd,2021-12-15T18:53:37.000Z,"It’s an ecosystem collapse situation.

#ClimateChange

Climate change has destabilized the Earth’s poles, putting the planet in peril - The Washington Post
washingtonpost.com
Climate change has destabilized the Earth’s poles, putting the rest of the planet in peril
New research shows how rising temperatures have irreversibly altered both the Arctic and Antarctic. Ripple effects will be felt around the globe.",[],0,0,0
Peter Clarke,@MediaActive,2021-12-15T18:48:28.000Z,"#emissions #coal #climatechange
theguardian.com
Mining giant concedes emissions ‘blowout’ at Queensland coalmine
Documents show Anglo American breached carbon limits at Capcoal mine by at least 841,000 tonnes over four years","['#emissions', '#coal']",0,0,0
Ocean Risk and Resilience Action Alliance,@ORRAAnews,2021-12-15T18:48:00.000Z,"'To help us better understand why South Pacific corals are more resilient to #climatechange, a team of marine scientists from New Caledonia set off on a scientific mission to sample #coral species around the mainland of this Pacific Island nation.'
spc.int
Why are some Pacific Lagoon corals resistant to climate change?
Photo credit: SPC/2021/Pauline Bosserelle ","['#climatechange,', '#coral']",0,0,0
Carolyn Kissane,@CarolynKissane,2021-12-15T18:47:52.000Z,"Non-conventional and creative solutions to flooding. Interesting to see communities built like this, and I'm curious to see how these homes sustain over the years - where will we see floating houses next? #Climatechange
Yale Environment 360
@YaleE360
 · 16h
Floating homes offer a solution to worsening floods and a shortage of buildable land.
In the Netherlands, floating houses are often prefabricated, square-shaped, three-story townhouses built offsite with conventional materials like timber, steel, and glass
https://e360.yale.edu/features/the-dutch-flock-to-floating-homes-embracing-a-wetter-future…",[],0,0,0
Rhett Kumar Mosqueda,@Wreck_It_Rhett,2021-12-15T18:46:12.000Z,"Wtf… why is it 72 outside in the middle of December???
#GlobalWarming #climatechange
1",['#GlobalWarming'],0,0,1
XO_BB_XO,@XO_BB_XO,2021-12-15T18:46:09.000Z,"Currently 64° in the middle of December. Short sleeves, Toms, no socks and a sweat shirt. I grilled last night. 

#ClimateChange
NBC Chicago
@nbcchicago
 · 1h
Officials Warn to Secure Outdoor Holiday Decorations Due to ‘Damaging Winds' Across Chicago Area http://nbcchi.com/MAi5Vrc
1",[],1,0,0
Alchemy MarketingLab,@AlchemyCEO,2021-12-15T18:45:01.000Z,"Why America Can Go All-Green Electricity By 2040 - a well-written opinion.

https://zcu.io/QpN9

#CleanEnergy #GreenEnergy #SolarEnergy #WindEnergy #ClimateChange #Sustainability","['#CleanEnergy', '#GreenEnergy', '#SolarEnergy', '#WindEnergy', '#Sustainability']",0,0,0
ORF,@orfonline,2021-12-15T18:45:00.000Z,".
@nilanthis
 writes on how natural and man-made #disasters continue to plague the #IndoPacific region; therefore, greater attention should be paid to addressing these problem areas. #climatechange
orfonline.org
Non-traditional security in the Bay of Bengal | ORF
With the escalation of great power competition, much attention has been given to the rise of traditional security, or state-based, concerns.
1","['#disasters', '#IndoPacific']",0,0,1
Flight93_Militia (I read profiles),@SCOAMT,2021-12-15T18:44:55.000Z,"Replying to 
@IcnirpMick
 @Barrtecforever
 and 48 others
Stories from 1973, LOL. 
Oil production in 1970: ~48MMBPD.
Oil production in 2015: ~80MMBPD.
This is due to SCIENCE.
Of course the cost of production increases over time for almost everything.

On the other hand #climatechange is a hoax.
1
1",[],1,0,1
